Date; Target(°C); Sensor(°C)
Jul 9 2025 12:30:01 PM; 23,491; 25,556
Jul 9 2025 12:30:02 PM; 23,938; 25,556
Jul 9 2025 12:30:03 PM; 24,009; 25,556
Jul 9 2025 12:30:04 PM; 23,291; 25,556
Jul 9 2025 12:30:05 PM; 23,309; 25,555
Jul 9 2025 12:30:06 PM; 23,396; 25,555
Jul 9 2025 12:30:07 PM; 23,424; 25,555
Jul 9 2025 12:30:08 PM; 23,386; 25,555
Jul 9 2025 12:30:09 PM; 23,318; 25,554
Jul 9 2025 12:30:10 PM; 23,242; 25,554
Jul 9 2025 12:30:11 PM; 23,283; 25,554
Jul 9 2025 12:30:12 PM; 23,298; 25,553
Jul 9 2025 12:30:13 PM; 23,413; 25,553
Jul 9 2025 12:30:14 PM; 23,366; 25,553
Jul 9 2025 12:30:15 PM; 23,353; 25,552
Jul 9 2025 12:30:16 PM; 23,337; 25,552
Jul 9 2025 12:30:17 PM; 23,328; 25,552
Jul 9 2025 12:30:18 PM; 23,396; 25,552
Jul 9 2025 12:30:19 PM; 23,386; 25,552
Jul 9 2025 12:30:20 PM; 23,471; 25,552
Jul 9 2025 12:30:21 PM; 23,498; 25,551
Jul 9 2025 12:30:22 PM; 23,43; 25,551
Jul 9 2025 12:30:23 PM; 23,38; 25,552
Jul 9 2025 12:30:24 PM; 23,368; 25,551
Jul 9 2025 12:30:25 PM; 23,284; 25,552
Jul 9 2025 12:30:26 PM; 23,349; 25,551
Jul 9 2025 12:30:27 PM; 23,399; 25,552
Jul 9 2025 12:30:28 PM; 23,508; 25,552
Jul 9 2025 12:30:29 PM; 23,483; 25,552
Jul 9 2025 12:30:30 PM; 23,424; 25,552
Jul 9 2025 12:30:31 PM; 23,477; 25,552
Jul 9 2025 12:30:32 PM; 23,374; 25,552
Jul 9 2025 12:30:33 PM; 23,468; 25,552
Jul 9 2025 12:30:34 PM; 23,534; 25,552
Jul 9 2025 12:30:35 PM; 23,528; 25,553
Jul 9 2025 12:30:36 PM; 23,492; 25,554
Jul 9 2025 12:30:37 PM; 23,38; 25,554
Jul 9 2025 12:30:38 PM; 23,373; 25,554
